"afdc_id","afdc_station_name","afdc_state","afdc_ev_network","matched","match_status","ocm_poi_id","distance_miles","ocm_operator","comment_count","fault_comment_count","most_recent_comment_date","ocm_status"
"404659","LOVE'S 418 - KY #418 DC1","KY","ChargePoint Network","True","matched","466499","0","ChargePoint","0","0",,"Operational"
"404765","Pilot Travel Center 592 - eXtend","CO","eVgo Network","True","matched","466746","0","eVgo Network","0","0",,"Operational"
"404836","Family Dollar - Clyde","TX","FCN","True","matched","465049","0","EV Energy Group (FCN)","0","0",,"Operational"
"405370","Flying J 621","CO","eVgo Network","True","matched","459318","0.0237","eVgo Network","0","0",,"Operational"
"416188","Sheetz York, powered by Electrify America","PA","Electrify America","True","matched","466957","0","Electrify America","0","0",,"Operational"
"416302","SureStay Plus - Montrose","CO","FCN","True","matched","459915","0.0128","Francis Energy","0","0",,"Operational"
"416884","Walnut - Penn Place","PA","eVgo Network","True","matched","351816","0","eVgo Network","0","0",,"Operational"
"417007","RMP Coalville (Coalville, UT)","UT","Electrify America","True","matched","467290","0","Electrify America","0","0",,"Operational"
"417308","Maybell, CO","CO","JULE","True","matched","467095","0","Jule","0","0",,"Operational"
"417312","Sundog FastCharge","ME","Non-Networked","True","matched","468330","0",,"0","0",,"Operational"
"417582","EVolve NY Henrietta","NY","Electrify America","True","matched","467998","0","Electrify America","0","0",,"Operational"
"417684","LOVE'S 383 - KY #383 DC1","KY","ChargePoint Network","True","matched","466606","0","ChargePoint","0","0",,"Operational"
"417687","LOVE'S 383 - KY #383 DC2","KY","ChargePoint Network","True","matched","466606","0.0017","ChargePoint","0","0",,"Operational"
"417708","Exxon Quik Stop - Wausaukee","WI","FCN","True","matched","468529","0","EV Energy Group (FCN)","0","0",,"Operational"
"417709","FairBridge Inn Express - Ladysmith","WI","FCN","True","matched","468583","0","EV Energy Group (FCN)","0","0",,"Operational"
"417710","Comfort Inn & Suites - Sheboygan","WI","FCN","True","matched","468184","0","EV Energy Group (FCN)","0","0",,"Operational"
