"id","station_name","state","latitude","longitude","ev_network","funding_sources"
"457672","Bowmansville Service Plaza","PA","40.202568","-76.01611","APPLEGREEN","NEVI"
"457720","Sheetz #559 - Columbia","PA","40.035563","-76.456423","FCN","NEVI"
"458179","LOVE'S 716 - KY #716 DC1","KY","37.654002","-85.886415","ChargePoint Network","NEVI"
"458184","LOVE'S 716 - KY #716 DC2","KY","37.654004","-85.886482","ChargePoint Network","NEVI"
"458330","Shaw's","ME","43.83672","-70.4408","JULE","NEVI"
"458331","Airport Mall","ME","44.81965","-68.81114","JULE","NEVI"
"458423","LOVE'S 653 - CO #653 DC1","CO","38.488699","-102.78484","ChargePoint Network","NEVI"
"458507","Electric Era Charging Station","PA","40.4223167","-79.9295014","ELECTRIC_ERA","NEVI"
"459225","Kwik Trip #414","MN","43.876943","-92.49026","KWIK_CHARGE","NEVI"
"459505","Casey's #4419 - Bowling Green","KY","36.9539732","-86.5023393","FCN","NEVI"
"459842","Sheetz Muncy, powered by Electrify America","PA","41.21253","-76.76295","Electrify America","NEVI"
"459934","Royal Farms - Tesla Supercharger","MD","39.455903","-76.636334","Tesla","NEVI"
"460076","Casey's #3532 - Central City","KY","37.284598","-87.11421","FCN","NEVI"
"460077","Subway - Salyersville","KY","37.740232","-83.04436","FCN","NEVI"
"460132","West Friendship Center","MD","39.304143","-76.954956","FCN","NEVI"
"460211","LOVE'S 238 - KY # 238 DC2","KY","37.979253","-85.693773","ChargePoint Network","NEVI"
"460212","LOVE'S 238 - KY #238 DC1","KY","37.979304","-85.693823","ChargePoint Network","NEVI"
"460333","FasCharge Site 4619 FastMarket Valero Albuquerque","NM","35.114943828729","-106.70258823962","RED_E","NEVI"
"460412","LOVE'S 287 - TX #287 DC2","TX","32.508361","-95.642081","ChargePoint Network","NEVI"
"460446","LOVE'S 287 - TX #287 DC1","TX","32.508674","-95.642886","ChargePoint Network","NEVI"
"460721","Rudy's Country Store & BBQ - Tesla Supercharger","AZ","32.176286","-110.94034","Tesla","NEVI"
"460932","LOVE'S 647 - KS #647 DC1","KS","39.83499","-97.637964","ChargePoint Network","NEVI"
"460981","LOVE'S 647 - KS #647 DC2","KS","39.835223","-97.637605","ChargePoint Network","NEVI"
"461070","Exxon Lovingston","VA","37.75275","-78.875639","RED_E","NEVI"
"461139","EVolve NY Sunnyside Municipal","NY","40.74345","-73.921","Electrify America","NEVI"
"461751","EVolve NY Dansville","NY","42.56368","-77.71098","Electrify America","NEVI"
"461753","Ideal Market #11 - Nortonville","KY","37.193084","-87.448723","FCN","NEVI"
"462295","PowerUp - Manchester","KY","37.13306104","-83.76770386","POWERUP","NEVI"
"462330","NOONDAY MARKET NOONDAY 2","MI","42.630259","-85.658704","ChargePoint Network","NEVI"
"462336","NOONDAY MARKET NOONDAY1","MI","42.630256","-85.658782","ChargePoint Network","NEVI"
"462433","Walsenburg, CO","CO","37.634141","-104.790207","RIVIAN_ADVENTURE","NEVI"
"462590","RI OER NEWPORT DCFC3","RI","41.500356","-71.316878","ChargePoint Network","NEVI"
"462593","RI OER NEWPORT DCFC1","RI","41.500762","-71.317486","ChargePoint Network","NEVI"
"462671","Residence Inn - Milwaukee","WI","43.144258","-87.914632","FCN","NEVI"
"463493","Kwik Trip #166","MN","46.433276","-92.755487","KWIK_CHARGE","NEVI"
"463494","Kwik Trip #429","MN","45.251982","-93.007757","KWIK_CHARGE","NEVI"
"463495","Kwik Trip #1078","MN","44.958501","-92.932751","KWIK_CHARGE","NEVI"
